symbol,fundingRate,openInterest,markPrice,oraclePrice,source,has_interest_component,interest_rate_per_interval
PYTH,8.2697e-06,15698754.0,0.06531,0.06538,hyperliquid,False,0.0
SUSHI,-3.1985e-06,907921.0,0.34574,0.34615,hyperliquid,False,0.0
ILV,0.0,0.0,12.118,12.14,hyperliquid,False,0.0
IMX,1.25e-05,6113395.399999999,0.28756,0.28775,hyperliquid,False,0.0
kBONK,-3.63504e-05,428658912.0,0.010328,0.010338,hyperliquid,False,0.0
GMT,-0.0001145594,27968734.0,0.01869,0.018725,hyperliquid,False,0.0
SUPER,1.25e-05,2678282.0,0.22274,0.22295,hyperliquid,False,0.0
USTC,1.25e-05,29994012.0,0.007216,0.007221,hyperliquid,False,0.0
NFTI,0.0,0.0,6.5609,2518.4,hyperliquid,False,0.0
JUP,1.25e-05,29540114.0,0.22172,0.22185,hyperliquid,False,0.0
kLUNC,-4.04521e-05,25208226.0,0.041743,0.0418,hyperliquid,False,0.0
RSR,1.25e-05,85065280.0,0.002685,0.002689,hyperliquid,False,0.0
GALA,1.25e-05,106560740.0,0.007665,0.007675,hyperliquid,False,0.0
JTO,-6.08866e-05,2375564.0,0.3952,0.3957,hyperliquid,False,0.0
NTRN,0.0,0.0,0.1238,0.12385,hyperliquid,False,0.0
ACE,1.25e-05,1503623.5199999998,0.2874,0.2878,hyperliquid,False,0.0
MAV,1.25e-05,8239068.0,0.026773,0.026793,hyperliquid,False,0.0
WIF,1.25e-05,18525550.0,0.37411,0.37415,hyperliquid,False,0.0
CAKE,1.25e-05,640660.4,2.1034,2.105,hyperliquid,False,0.0
PEOPLE,1.25e-05,15789730.0,0.010615,0.01062,hyperliquid,False,0.0
ENS,-1.45906e-05,32650.92,10.239,10.251,hyperliquid,False,0.0
ETC,-5.1808e-06,120236.94,12.737,12.75,hyperliquid,False,0.0
XAI,-9.75293e-05,63558451.199999996,0.0183,0.01833,hyperliquid,False,0.0
MANTA,1.25e-05,2420458.4000000004,0.08228,0.08233,hyperliquid,False,0.0
UMA,1.25e-05,678515.0,0.77744,0.778,hyperliquid,False,0.0
ONDO,1.25e-05,12470096.0,0.3839,0.3841,hyperliquid,False,0.0
ALT,1.25e-05,50497514.0,0.01269,0.012701,hyperliquid,False,0.0
ZETA,5.518e-06,11461507.2,0.08168,0.08176,hyperliquid,False,0.0
DYM,1.25e-05,6837439.399999999,0.06912,0.0692,hyperliquid,False,0.0
MAVIA,1.25e-05,28407767.200000003,0.06055,0.0605,hyperliquid,False,0.0
W,1.25e-05,38661067.0,0.03607,0.0361,hyperliquid,False,0.0
PANDORA,0.0,0.0,3026.3,1706.6,hyperliquid,False,0.0
STRK,-2.85831e-05,61451990.2,0.08337,0.08345,hyperliquid,False,0.0
PIXEL,0.0,0.0,0.024027,0.024025,hyperliquid,False,0.0
AI,0.0,0.0,0.12555,0.1257,hyperliquid,False,0.0
TAO,1.25e-05,61829.522,271.95,272.08,hyperliquid,False,0.0
AR,1.25e-05,225632.64,4.0312,4.033,hyperliquid,False,0.0
MYRO,0.0,0.0,0.015813,0.015815,hyperliquid,False,0.0
kFLOKI,-1.30605e-05,14148840.0,0.04892,0.048975,hyperliquid,False,0.0
BOME,1.19117e-05,276049022.0,0.000654,0.000655,hyperliquid,False,0.0
ETHFI,1.25e-05,6885949.799999999,0.73107,0.73135,hyperliquid,False,0.0
ENA,1.25e-05,136426152.0,0.21743,0.2175,hyperliquid,False,0.0
MNT,1.25e-05,3874247.2,0.95114,0.95171,hyperliquid,False,0.0
TNSR,-2.58816e-05,3579218.4,0.07192,0.07198,hyperliquid,False,0.0
SAGA,7.9751e-06,12858087.0,0.06086,0.0609,hyperliquid,False,0.0
MERL,1.25e-05,4114212.0,0.20364,0.20384,hyperliquid,False,0.0
HBAR,1.25e-05,24858866.0,0.11712,0.11717,hyperliquid,False,0.0
POPCAT,-6.17048e-05,14269412.0,0.090025,0.090165,hyperliquid,False,0.0
OMNI,0.0,0.0,4.1915,4.1948,hyperliquid,False,0.0
EIGEN,-2.96504e-05,7765490.68,0.3957,0.396,hyperliquid,False,0.0
REZ,1.25e-05,104249130.0,0.00519,0.005198,hyperliquid,False,0.0
NOT,1.25e-05,273306798.0,0.000609,0.00061,hyperliquid,False,0.0
TURBO,-4.2444e-05,284577482.0,0.001757,0.001758,hyperliquid,False,0.0
BRETT,1.25e-05,59595292.0,0.016238,0.016245,hyperliquid,False,0.0
IO,-7.27757e-05,2119289.5999999996,0.17032,0.17065,hyperliquid,False,0.0
ZK,1.25e-05,29367322.0,0.033903,0.033925,hyperliquid,False,0.0
BLAST,-5.86997e-05,1324108090.0,0.000871,0.000874,hyperliquid,False,0.0
LISTA,0.0,0.0,0.12466,0.1247,hyperliquid,False,0.0
MEW,1.25e-05,234302620.0,0.001103,0.001103,hyperliquid,False,0.0
RENDER,-1.75121e-05,768984.6,2.1765,2.179,hyperliquid,False,0.0
kDOGS,0.0,0.0,0.13659,0.13675,hyperliquid,False,0.0
POL,1.25e-05,25485868.0,0.14295,0.14305,hyperliquid,False,0.0
CATI,0.0,0.0,0.082821,0.08275,hyperliquid,False,0.0
CELO,1.25e-05,5933368.0,0.14056,0.14065,hyperliquid,False,0.0
HMSTR,1.25e-05,8449207300.0,0.000252,0.000251,hyperliquid,False,0.0
SCR,1.25e-05,2511307.6,0.08328,0.0833,hyperliquid,False,0.0
NEIROETH,0.0,0.0,0.01808,0.017705,hyperliquid,False,0.0
kNEIRO,-2.68021e-05,3730907.5999999996,0.12739,0.12752,hyperliquid,False,0.0
GOAT,1.25e-05,31386218.0,0.037011,0.036996,hyperliquid,False,0.0
MOODENG,1.25e-05,21228750.0,0.076604,0.076675,hyperliquid,False,0.0
GRASS,1.25e-05,2639096.6,0.31502,0.3149,hyperliquid,False,0.0
PURR,1.25e-05,47718412.0,0.059327,0.059679,hyperliquid,False,0.0
PNUT,-1.42193e-05,7995173.2,0.08217,0.08224,hyperliquid,False,0.0
XLM,-8.7229e-06,15207792.0,0.22821,0.22843,hyperliquid,False,0.0
CHILLGUY,1.25e-05,58402600.0,0.02135,0.021345,hyperliquid,False,0.0
SAND,-0.0001366401,8068252.0,0.15393,0.1543,hyperliquid,False,0.0
IOTA,1.25e-05,3497298.0,0.09393,0.09397,hyperliquid,False,0.0
ALGO,1.25e-05,8607742.0,0.12823,0.1284,hyperliquid,False,0.0
HYPE,1.25e-05,28082556.900000002,25.501,25.495,hyperliquid,False,0.0
ME,1.25e-05,1741965.6,0.23441,0.23451,hyperliquid,False,0.0
MOVE,1.25e-05,60891554.0,0.037304,0.037315,hyperliquid,False,0.0
VIRTUAL,1.25e-05,12164856.4,0.93044,0.9309,hyperliquid,False,0.0
PENGU,1.25e-05,609145250.0,0.01167,0.011676,hyperliquid,False,0.0
USUAL,1.25e-05,19316990.2,0.02955,0.02955,hyperliquid,False,0.0
FARTCOIN,1.25e-05,228909499.39999995,0.34345,0.34365,hyperliquid,False,0.0
AI16Z,0.0,0.0,0.06157,0.06153,hyperliquid,False,0.0
AIXBT,1.25e-05,20122440.0,0.033286,0.03332,hyperliquid,False,0.0
ZEREBRO,1.25e-05,103284546.0,0.014553,0.014545,hyperliquid,False,0.0
BIO,1.25e-05,8464266.0,0.044331,0.04435,hyperliquid,False,0.0
GRIFFAIN,1.25e-05,111328022.0,0.018531,0.018527,hyperliquid,False,0.0
SPX,1.25e-05,10064544.4,0.54953,0.55,hyperliquid,False,0.0
S,1.25e-05,21414076.0,0.079814,0.07985,hyperliquid,False,0.0
MORPHO,1.25e-05,2452599.4000000004,1.3129,1.3131,hyperliquid,False,0.0
TRUMP,-4.52564e-05,2122289.4,5.267,5.272,hyperliquid,False,0.0
MELANIA,-0.000127122,13261718.0,0.16639,0.16664,hyperliquid,False,0.0
ANIME,-7.901e-07,95726182.0,0.007565,0.007571,hyperliquid,False,0.0
VINE,1.25e-05,27851900.0,0.028645,0.028615,hyperliquid,False,0.0
VVV,-2.00902e-05,1330297.8399999999,2.9787,2.9825,hyperliquid,False,0.0
JELLY,0.0,0.0,0.037555,0.03719,hyperliquid,False,0.0
BERA,-0.0018803115,8419149.6,0.99395,1.0107,hyperliquid,False,0.0
TST,1.25e-05,20974540.0,0.016307,0.01632,hyperliquid,False,0.0
LAYER,-2.07208e-05,3688370.0,0.15973,0.16005,hyperliquid,False,0.0
IP,-0.0007623667,2013839.4,2.6607,2.6775,hyperliquid,False,0.0
