symbol,fundingRate,fundingRateTimestamp,fundingTime,source,type,has_interest,interest_per_interval
BTCUSDT,1.35e-05,1762819200000,2025-11-11 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-4.885e-05,1762848000000,2025-11-11 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,5.706e-05,1762876800000,2025-11-11 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,6.811e-05,1762905600000,2025-11-12 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,3.386e-05,1762934400000,2025-11-12 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,9.323e-05,1762963200000,2025-11-12 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,-1.163e-05,1762992000000,2025-11-13 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,1.427e-05,1763020800000,2025-11-13 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,2.564e-05,1763049600000,2025-11-13 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,-4.056e-05,1763078400000,2025-11-14 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,1.296e-05,1763107200000,2025-11-14 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,5.789e-05,1763136000000,2025-11-14 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.552e-05,1763164800000,2025-11-15 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,7.12e-05,1763193600000,2025-11-15 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.47e-05,1763222400000,2025-11-15 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,9.79e-06,1763251200000,2025-11-16 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,3.754e-05,1763280000000,2025-11-16 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.955e-05,1763308800000,2025-11-16 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,5.953e-05,1763337600000,2025-11-17 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,0.0001,1763366400000,2025-11-17 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,7.101e-05,1763395200000,2025-11-17 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,8.162e-05,1763424000000,2025-11-18 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.31e-05,1763452800000,2025-11-18 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,0.0001,1763481600000,2025-11-18 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.908e-05,1763510400000,2025-11-19 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-4.34e-06,1763539200000,2025-11-19 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,-9.81e-06,1763568000000,2025-11-19 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.555e-05,1763596800000,2025-11-20 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,0.0001,1763625600000,2025-11-20 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,1.338e-05,1763654400000,2025-11-20 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,-4.79e-06,1763683200000,2025-11-21 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-7.26e-06,1763712000000,2025-11-21 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,5.602e-05,1763740800000,2025-11-21 16:00:00,bybit,CEX,True,0.0001
