symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time,source,has_interest_component
OGNUSDT,0.03279755,0.03279613,0.03274007,0.0001,0.0001,1768723200000,1768710732001,binance,True
USDCUSDT,0.999685,1.00017249,1.00018450,9.41e-06,0.0001,1768723200000,1768710732001,binance,True
API3USDT,0.4349449,0.43585938,0.43654625,-7.104e-05,0.0001,1768723200000,1768710732001,binance,True
IMXUSDT,0.2876,0.28772581,0.28836741,5e-05,0.0001,1768723200000,1768710732001,binance,True
YFIUSDT,3628.0,3631.89711776,3636.57809050,7.065e-05,0.0001,1768723200000,1768710732001,binance,True
FILUSDT,1.526,1.52685605,1.52814557,4.854e-05,0.0001,1768723200000,1768710732001,binance,True
KAVAUSDT,0.0931,0.09326621,0.09340813,4.021e-05,0.0001,1768723200000,1768710732001,binance,True
ASTRUSDT,0.011432,0.01145138,0.01146095,-4.716e-05,0.0001,1768723200000,1768710732001,binance,True
BTCUSDT,95046.59908333,95092.6575,95140.14782718,4.886e-05,0.0001,1768723200000,1768710732001,binance,True
BICOUSDT,0.04484,0.04486118,0.04496755,-1.44e-06,0.0001,1768723200000,1768710732001,binance,True
ANIMEUSDT,0.00756613,0.00757756,0.00758826,-0.00010438,0.0001,1768723200000,1768710732001,binance,True
IRYSUSDT,0.0421,0.04208633,0.04208235,5e-05,0.0001,1768723200000,1768710732001,binance,True
BIOUSDT,0.04433496,0.04433395,0.04451962,-2.64e-06,0.0001,1768723200000,1768710732001,binance,True
USUSDT,0.00702,0.00701619,0.00710802,5e-05,0.0001,1768723200000,1768710732001,binance,True
ARKMUSDT,0.2069,0.20711253,0.20760285,4.232e-05,0.0001,1768723200000,1768710732001,binance,True
COMMONUSDT,0.00307093,0.00306834,0.00306579,5e-05,0.0001,1768723200000,1768710732001,binance,True
TROYUSDT,0.00033,0.00033,0.00000000,0.0,0.0001,1768716000000,1768710732001,binance,True
PNUTUSDT,0.08215133,0.08223054,0.08239702,-8.204e-05,0.0001,1768723200000,1768710732001,binance,True
ENSOUSDT,0.65449369,0.65591904,0.65583035,5e-05,0.0001,1768723200000,1768710732001,binance,True
SEIUSDT,0.11982973,0.11982736,0.12007718,-2.091e-05,0.0001,1768723200000,1768710732001,binance,True
SNXUSDT,0.47819577,0.47912432,0.48008176,0.0001,0.0001,1768723200000,1768710732001,binance,True
WLDUSDT,0.54393217,0.54443755,0.54489724,-1.92e-06,0.0001,1768723200000,1768710732001,binance,True
KITEUSDT,0.09515867,0.09489851,0.09474924,5e-05,0.0001,1768723200000,1768710732001,binance,True
EIGENUSDT,0.3956,0.39602647,0.39606931,-5.872e-05,0.0001,1768723200000,1768710732001,binance,True
BRUSDT,0.05406959,0.05406725,0.05408967,5e-05,0.0001,1768723200000,1768710732001,binance,True
OXTUSDT,0.02478,0.02479607,0.02483955,-0.0001878,0.0001,1768723200000,1768710732001,binance,True
LOOMUSDT,0.001424,0.001424,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
IOSTUSDT,0.001643,0.00164498,0.00164691,9.492e-05,0.0001,1768723200000,1768710732001,binance,True
SPORTFUNUSDT,0.0947,0.09459879,0.09375110,0.00030101,0.0001,1768723200000,1768710732001,binance,True
SANDUSDT,0.15404484,0.15440991,0.15402006,-0.00079672,0.0001,1768723200000,1768710732001,binance,True
XMRUSDT,564.03,563.08,560.34531518,0.00271541,0.0001,1768723200000,1768710732001,binance,True
HIVEUSDT,0.10525484,0.10539541,0.10547357,5e-05,0.0001,1768723200000,1768710732001,binance,True
RSRUSDT,0.00268561,0.00268921,0.00268743,5.911e-05,0.0001,1768723200000,1768710732001,binance,True
HAEDALUSDT,0.04792516,0.04801324,0.04803074,3.358e-05,0.0001,1768723200000,1768710732001,binance,True
MERLUSDT,0.20368481,0.20380822,0.20520862,5e-05,0.0001,1768723200000,1768710732001,binance,True
