symbol,fundingTime,fundingRate,markPrice,source,has_interest_component,interest_rate_per_interval
BTCUSDT,2026-01-11 08:00:00.006,4.67e-05,90664.86374094,binance,True,0.0001
BTCUSDT,2026-01-11 16:00:00.000,1.667e-05,90834.1,binance,True,0.0001
BTCUSDT,2026-01-12 00:00:00.005,1.813e-05,90976.6,binance,True,0.0001
BTCUSDT,2026-01-12 08:00:00.000,2.902e-05,91369.3,binance,True,0.0001
BTCUSDT,2026-01-12 16:00:00.000,4.65e-05,91625.1,binance,True,0.0001
BTCUSDT,2026-01-13 00:00:00.007,2.245e-05,91254.18296377,binance,True,0.0001
BTCUSDT,2026-01-13 08:00:00.009,9.838e-05,91920.87575362,binance,True,0.0001
BTCUSDT,2026-01-13 16:00:00.002,3.445e-05,93407.9,binance,True,0.0001
BTCUSDT,2026-01-14 00:00:00.000,1.29e-06,95375.2,binance,True,0.0001
BTCUSDT,2026-01-14 08:00:00.001,2.497e-05,95170.48131159,binance,True,0.0001
BTCUSDT,2026-01-14 16:00:00.004,4.076e-05,96691.9,binance,True,0.0001
BTCUSDT,2026-01-15 00:00:00.000,-3.67e-06,96908.0,binance,True,0.0001
BTCUSDT,2026-01-15 08:00:00.004,1.749e-05,96606.62814493,binance,True,0.0001
BTCUSDT,2026-01-15 16:00:00.002,1.526e-05,96750.47456522,binance,True,0.0001
BTCUSDT,2026-01-16 00:00:00.000,7.34e-05,95567.4,binance,True,0.0001
BTCUSDT,2026-01-16 08:00:00.000,7.337e-05,95608.3,binance,True,0.0001
BTCUSDT,2026-01-16 16:00:00.001,2.495e-05,94537.5,binance,True,0.0001
BTCUSDT,2026-01-17 00:00:00.000,-1.78e-06,95503.7,binance,True,0.0001
BTCUSDT,2026-01-17 08:00:00.000,3.007e-05,95061.58289855,binance,True,0.0001
BTCUSDT,2026-01-17 16:00:00.002,2.976e-05,95529.0,binance,True,0.0001
BTCUSDT,2026-01-18 00:00:00.001,3.503e-05,95108.62485833,binance,True,0.0001
