symbol,nextFundingRate,oraclePrice,priceChange24H,volume24H,openInterest,source,has_interest_component,interest_rate_per_interval
W-USD,6.671875e-06,0.0361099457,-0.0001175531,0.0,479750.0,dydx,False,0.0
MOTHER-USD,1.25e-05,0.0115072852,0.0,0.0,0.0,dydx,False,0.0
MOG-USD,1.25e-05,2.968945783e-07,-7.0348167e-09,0.0,0.0,dydx,False,0.0
GOAT-USD,1.25e-05,0.0370071299,-0.0004353815,0.0,0.0,dydx,False,0.0
TREMP-USD,1.25e-05,0.0522455407,0.0,0.0,0.0,dydx,False,0.0
BODEN-USD,1.25e-05,0.0020638314,0.0,0.0,0.0,dydx,False,0.0
ZRO-USD,4.8046875e-06,1.722305538,0.076323241,1939.322,22668.0,dydx,False,0.0
ZK-USD,0.0,0.033919824,-0.0012304061,0.0,808250.0,dydx,False,0.0
TLOS-USD,1.25e-05,0.0226504699,0.0005309715,0.0,0.0,dydx,False,0.0
ONDO-USD,0.0,0.384206619,-0.001166306,10246.051,63993.0,dydx,False,0.0
ENA-USD,1.796875e-07,0.2177055741,-0.0017254093,2873.524,4702980.0,dydx,False,0.0
IO-USD,1.25e-05,0.170707323,0.003215121,0.0,33786.0,dydx,False,0.0
AR-USD,1.25e-05,4.03919216,0.00013047,0.0,0.0,dydx,False,0.0
KAS-USD,1.25e-05,0.0437651044,-0.0007831318,0.0,66980.0,dydx,False,0.0
NOT-USD,1.25e-05,0.00061001699,-2.90302e-05,0.0,26500.0,dydx,False,0.0
ENS-USD,0.0,10.24504569,-0.05840827,0.0,369.2,dydx,False,0.0
FLOKI-USD,0.0,4.90231563e-05,-1.9534599e-06,0.0,201590000.0,dydx,False,0.0
TAO-USD,0.0001429609375,272.0283914,-3.4102824,626.913,285.61,dydx,False,0.0
FTM-USD,0.0,0.7723027697,0.0,0.0,0.0,dydx,False,0.0
SAFE-USD,1.25e-05,0.212846788,0.029809034,0.0,0.0,dydx,False,0.0
TAIKO-USD,1.25e-05,0.178852437,0.001105762,0.0,10000.0,dydx,False,0.0
AKT-USD,1.25e-05,0.461761471,0.001020461,0.0,7736.0,dydx,False,0.0
CAKE-USD,0.00034386328125,2.105473636,-0.014890254,604.45,20246.0,dydx,False,0.0
BRETT-USD,1.25e-05,0.016255936,-0.0005007126,0.0,1970.0,dydx,False,0.0
SATS-USD,1.25e-05,1.86544036e-08,-1.0116631e-09,0.0,0.0,dydx,False,0.0
BLAST-USD,-6.821484375e-05,0.00087300969,6.375247e-05,0.0,16689900.0,dydx,False,0.0
XMR-USD,0.00055972265625,562.3744753,-63.8425996,30236.631,569.15,dydx,False,0.0
THETA-USD,1.25e-05,0.3349995,0.02000432,0.0,18491.0,dydx,False,0.0
ENJ-USD,1.25e-05,0.0333812345,0.0009822525,6.12,18530.0,dydx,False,0.0
1INCH-USD,0.0,0.1573606602,-0.0046393398,1003.824,519240.0,dydx,False,0.0
XTZ-USD,1.25e-05,0.6146772511,0.0016772511,46.265,2500.0,dydx,False,0.0
UMA-USD,1.25e-05,0.7764029,-0.0125971,0.0,1126.0,dydx,False,0.0
CVX-USD,1.25e-05,2.129564379,0.062098775,0.0,103.0,dydx,False,0.0
SUSHI-USD,1.25e-05,0.3461134724,0.0090146021,0.0,10.0,dydx,False,0.0
ZRX-USD,1.25e-05,0.146463,-0.0048778118,0.0,0.0,dydx,False,0.0
PENDLE-USD,0.0,2.085478635,-0.035884955,14.721,9226.0,dydx,False,0.0
DEGEN-USD,1.25e-05,0.001294926271,-4.8305082e-05,0.0,0.0,dydx,False,0.0
MNT-USD,-2.97421875e-05,0.9522109893,0.0052330287,142.3,17770.0,dydx,False,0.0
JASMY-USD,1.25e-05,0.00805273608,-7.876245e-05,2.087,886900.0,dydx,False,0.0
CORE-USD,1.25e-05,0.132566858,0.007304437,0.0,402.0,dydx,False,0.0
PEOPLE-USD,0.0,0.0106199834,-3.583955e-05,58.968,54200.0,dydx,False,0.0
GMX-USD,1.25e-05,7.98060581,-0.05928621,0.0,0.0,dydx,False,0.0
POPCAT-USD,-8.6484375e-06,0.0902736391,-0.0039263609,2048.919,33620.0,dydx,False,0.0
PRIME-USD,1.25e-05,0.777081266,0.02199917,0.0,1100.0,dydx,False,0.0
GALA-USD,1.25e-05,0.00767475428,0.00030696462,0.0,42900.0,dydx,False,0.0
AXS-USD,1.25e-05,2.109999999,0.716680798,0.0,357.0,dydx,False,0.0
XAI-USD,1.25e-05,0.0183345812,-0.0013587216,749.952,132290.0,dydx,False,0.0
MEW-USD,1.25e-05,0.001103579284,6.0128953e-05,0.0,0.0,dydx,False,0.0
BEAM-USD,-8.515625e-07,0.00320130377,9.42359e-05,0.0,849100.0,dydx,False,0.0
NEO-USD,1.25e-05,4.01713065,0.01599132,0.0,1.0,dydx,False,0.0
EGLD-USD,1.25e-05,6.65800259,0.44011712,0.0,205.1,dydx,False,0.0
ALT-USD,1.25e-05,0.0127063832,-0.0003591082,0.0,0.0,dydx,False,0.0
PIXEL-USD,1.25e-05,0.0101587867,1.2288e-05,0.0,0.0,dydx,False,0.0
TURBO-USD,1.25e-05,0.001758253642,-6.4739664e-05,0.0,0.0,dydx,False,0.0
BOME-USD,1.25e-05,0.00065546636,-2.3080076e-05,0.0,0.0,dydx,False,0.0
TRB-USD,1.25e-05,22.4633573,-0.3032423,3.87,17.32,dydx,False,0.0
ZEN-USD,7.73046875e-06,11.296305508,-1.021443956,6696.457,2825.0,dydx,False,0.0
BICO-USD,1.25e-05,0.0448660267,0.0013758263,0.0,0.0,dydx,False,0.0
OM-USD,1.25e-05,0.0752811798,-0.0005430346,0.0,144710.0,dydx,False,0.0
DMAIL-USD,1.25e-05,0.122414688,0.0,0.0,0.0,dydx,False,0.0
MAVIA-USD,1.25e-05,0.256523043,0.0,0.0,0.0,dydx,False,0.0
ZERO-USD,1.25e-05,0.0001357133475,0.0,0.0,0.0,dydx,False,0.0
VRTX-USD,1.25e-05,0.0646862886,0.0,0.0,0.0,dydx,False,0.0
MICHI-USD,1.25e-05,0.0041275192,0.0004057405,0.0,0.0,dydx,False,0.0
AURORA-USD,1.25e-05,0.15936812,0.0,0.0,0.0,dydx,False,0.0
FOXY-USD,1.25e-05,0.00472618214,0.0,0.0,0.0,dydx,False,0.0
PAXG-USD,0.0,4616.300935,4.74277,221.66,18.299,dydx,False,0.0
GME-USD,1.25e-05,0.002515523236,0.0,0.0,0.0,dydx,False,0.0
DRIFT-USD,0.0,0.1904119176,0.0093236761,3097.981,18600.0,dydx,False,0.0
EURC-USD,1.25e-05,1.0356,0.0,0.0,0.0,dydx,False,0.0
RETARDIO-USD,1.25e-05,0.0392881969,0.0,0.0,0.0,dydx,False,0.0
DAI-USD,1.25e-05,1.0001004101,0.0,0.0,290.0,dydx,False,0.0
OSMO-USD,1.25e-05,0.0579939382,0.0013024257,220.64,8820.0,dydx,False,0.0
NEIRO-USD,1.25e-05,0.00112270216,-2.195444e-05,0.0,0.0,dydx,False,0.0
HNT-USD,1.25e-05,1.360532541,-0.010508068,0.0,692.0,dydx,False,0.0
TRY-USD,1.25e-05,0.02308672282,-1.936732e-05,14.006,2200.0,dydx,False,0.0
SUNDOG-USD,1.25e-05,0.0106127779,-0.0001185726,0.0,0.0,dydx,False,0.0
LUCE-USD,1.25e-05,0.0081183763,0.0,0.0,0.0,dydx,False,0.0
TRUMPWIN-USD,1.25e-05,1.0,0.0,0.0,0.0,dydx,False,0.0
CETUS-USD,1.25e-05,0.02739027423,-0.00020144825,0.0,0.0,dydx,False,0.0
ZBCN-USD,1.25e-05,0.0010295940811,0.0,0.0,0.0,dydx,False,0.0
QTUM-USD,1.25e-05,1.455207045,-0.01144419,0.0,0.0,dydx,False,0.0
ONT-USD,1.25e-05,0.0656568686,-0.0010426366,0.0,10.0,dydx,False,0.0
REN-USD,1.25e-05,0.02525494901,0.0,0.0,0.0,dydx,False,0.0
PERP-USD,1.25e-05,0.0730413332,-0.000597925,0.0,0.0,dydx,False,0.0
EUR-USD,1.25e-05,1.1587459,-0.000962522,21.28,3414.0,dydx,False,0.0
ORDER-USD,1.25e-05,0.0912741536,-3.9096e-06,0.0,10.0,dydx,False,0.0
WBTC-USD,1.25e-05,101929.20057,0.0,0.0,0.0,dydx,False,0.0
CLV-USD,1.25e-05,0.0061,0.0,0.0,0.0,dydx,False,0.0
USDE-USD,1.01171875e-06,0.9999000199,0.0,0.0,7530.0,dydx,False,0.0
POL-USD,2.640625e-06,0.1430603275,-0.001932183,9747.829,127130.0,dydx,False,0.0
RAY-USD,1.25e-05,1.11478759,-0.026570002,0.0,99.0,dydx,False,0.0
PNUT-USD,1.25e-05,0.082277308,-0.002234589,0.0,0.0,dydx,False,0.0
MOODENG-USD,1.25e-05,0.0767169849,-0.0004587306,0.0,10.0,dydx,False,0.0
ID-USD,1.25e-05,0.076268654,-0.0025706749,0.0,200.0,dydx,False,0.0
XYO-USD,1.25e-05,0.005780180477,4.3040619e-05,0.0,49000.0,dydx,False,0.0
ZEC-USD,0.0,394.43583524,-12.22373308,108336.526,381.7,dydx,False,0.0
KSM-USD,1.25e-05,7.73203325,0.17902587,0.0,0.0,dydx,False,0.0
GRASS-USD,1.25e-05,0.3150212454,-0.0077833922,0.0,0.0,dydx,False,0.0
"MAD,RAYDIUM,MADHPJRN6BD8T78RSY7NUSUNWWA2HU8BYPOBZPRHBHV-USD",1.25e-05,1.17181959e-05,0.0,0.0,0.0,dydx,False,0.0
SKL-USD,1.25e-05,0.01061196983,7.107801e-05,0.0,0.0,dydx,False,0.0
ATH-USD,-4.921875e-06,0.00995223176,-6.430917e-05,53.298,112700.0,dydx,False,0.0
GHST-USD,1.25e-05,0.7408518296,0.0,0.0,0.0,dydx,False,0.0
AMPL-USD,1.25e-05,1.2639972,0.0,0.0,0.0,dydx,False,0.0
"HAWKTUAH,RAYDIUM,4GFE6MBDORSY5BLBIUMRGETR6PZCJYFXMDM5EHSGPUMP-USD",1.25e-05,0.000182796282,0.0,0.0,0.0,dydx,False,0.0
AERO-USD,1.25e-05,0.546719203,-0.01421479,0.0,107.0,dydx,False,0.0
PIRATE-USD,1.25e-05,0.0057794125,0.0001399804,0.0,0.0,dydx,False,0.0
"POWSCHE,RAYDIUM,8CKISHHJDHJV4LUOIRMLUHQG58CUKBYJRTCP4Z3MCXNF-USD",1.25e-05,0.02033770575,0.0,0.0,0.0,dydx,False,0.0
