ticker,rate,price,effectiveAtHeight,effectiveAt,fundingTime,fundingRate,markPrice,symbol,source,type,has_interest,interest_per_interval
ETH-USD,0.000026625,3912.287643,59663039,2025-10-19T10:00:00.116Z,2025-10-19 10:00:00.116000+00:00,2.6625e-05,3912.287643,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000032375,3931.602655,59668889,2025-10-19T11:00:00.216Z,2025-10-19 11:00:00.216000+00:00,3.2375e-05,3931.602655,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000030125,3925.68,59674827,2025-10-19T12:00:00.326Z,2025-10-19 12:00:00.326000+00:00,3.0125e-05,3925.68,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000020125,3923.46704,59680730,2025-10-19T13:00:00.411Z,2025-10-19 13:00:00.411000+00:00,2.0125e-05,3923.46704,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000027625,3973.289315,59686656,2025-10-19T14:00:00.317Z,2025-10-19 14:00:00.317000+00:00,2.7625e-05,3973.289315,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00002625,3991.386554,59692543,2025-10-19T15:00:00.185Z,2025-10-19 15:00:00.185000+00:00,2.625e-05,3991.386554,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.0000255,3979.18,59698451,2025-10-19T16:00:00.030Z,2025-10-19 16:00:00.030000+00:00,2.55e-05,3979.18,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000021,3982.603041,59704336,2025-10-19T17:00:00.009Z,2025-10-19 17:00:00.009000+00:00,2.1e-05,3982.603041,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00003425,3996.432065,59710191,2025-10-19T18:00:00.745Z,2025-10-19 18:00:00.745000+00:00,3.425e-05,3996.432065,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00003525,4001.930772,59716049,2025-10-19T19:00:02.053Z,2025-10-19 19:00:02.053000+00:00,3.525e-05,4001.930772,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000027125,3987.283641,59721917,2025-10-19T20:00:00.359Z,2025-10-19 20:00:00.359000+00:00,2.7125e-05,3987.283641,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000035375,4002.40096,59727795,2025-10-19T21:00:00.583Z,2025-10-19 21:00:00.583000+00:00,3.5375e-05,4002.40096,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.0000225,3999.588659,59733688,2025-10-19T22:00:00.470Z,2025-10-19 22:00:00.470000+00:00,2.25e-05,3999.588659,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000036375,4022.482396,59739558,2025-10-19T23:00:00.426Z,2025-10-19 23:00:00.426000+00:00,3.6375e-05,4022.482396,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.0000285,3985.232616,59745451,2025-10-20T00:00:00.472Z,2025-10-20 00:00:00.472000+00:00,2.85e-05,3985.232616,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000031625,3944.03,59751371,2025-10-20T01:00:00.313Z,2025-10-20 01:00:00.313000+00:00,3.1625e-05,3944.03,ETH-USD,dydx,DEX,False,0.0
