symbol,fundingTime,fundingRate,markPrice,source,type,has_interest,interest_per_interval
BTCUSDT,2025-10-20 08:00:00.001,-6.65e-06,111144.51395652,binance,CEX,True,0.0001
BTCUSDT,2025-10-20 16:00:00.000,-1.8e-07,111079.2,binance,CEX,True,0.0001
BTCUSDT,2025-10-21 00:00:00.009,-5.567e-05,110469.9,binance,CEX,True,0.0001
BTCUSDT,2025-10-21 08:00:00.000,2.222e-05,108040.11896377,binance,CEX,True,0.0001
BTCUSDT,2025-10-21 16:00:00.000,-2.506e-05,113355.3,binance,CEX,True,0.0001
BTCUSDT,2025-10-22 00:00:00.004,-4.212e-05,108256.95482609,binance,CEX,True,0.0001
BTCUSDT,2025-10-22 08:00:00.000,2.445e-05,108285.03557721,binance,CEX,True,0.0001
BTCUSDT,2025-10-22 16:00:00.000,5.702e-05,108375.0050942,binance,CEX,True,0.0001
BTCUSDT,2025-10-23 00:00:00.000,8.911e-05,107532.0,binance,CEX,True,0.0001
BTCUSDT,2025-10-23 08:00:00.001,2.673e-05,109229.9408913,binance,CEX,True,0.0001
BTCUSDT,2025-10-23 16:00:00.004,3.933e-05,109849.0,binance,CEX,True,0.0001
BTCUSDT,2025-10-24 00:00:00.000,3.391e-05,110032.13344928,binance,CEX,True,0.0001
BTCUSDT,2025-10-24 08:00:00.000,1.783e-05,111014.12165942,binance,CEX,True,0.0001
BTCUSDT,2025-10-24 16:00:00.009,3.224e-05,110009.8,binance,CEX,True,0.0001
BTCUSDT,2025-10-25 00:00:00.000,5.02e-05,110965.34494203,binance,CEX,True,0.0001
BTCUSDT,2025-10-25 08:00:00.001,1.484e-05,111445.4,binance,CEX,True,0.0001
BTCUSDT,2025-10-25 16:00:00.001,5.57e-05,111341.17806667,binance,CEX,True,0.0001
BTCUSDT,2025-10-26 00:00:00.001,1.903e-05,111593.3293913,binance,CEX,True,0.0001
BTCUSDT,2025-10-26 08:00:00.001,5.35e-06,111672.9,binance,CEX,True,0.0001
BTCUSDT,2025-10-26 16:00:00.000,6.904e-05,113651.89706522,binance,CEX,True,0.0001
BTCUSDT,2025-10-27 00:00:00.000,0.0001,114505.72468116,binance,CEX,True,0.0001
BTCUSDT,2025-10-27 08:00:00.005,0.0001,115522.4,binance,CEX,True,0.0001
BTCUSDT,2025-10-27 16:00:00.000,7.304e-05,114914.5,binance,CEX,True,0.0001
BTCUSDT,2025-10-28 00:00:00.000,6.059e-05,114064.1,binance,CEX,True,0.0001
BTCUSDT,2025-10-28 08:00:00.000,7.806e-05,114132.8762971,binance,CEX,True,0.0001
BTCUSDT,2025-10-28 16:00:00.004,2.992e-05,114580.1,binance,CEX,True,0.0001
BTCUSDT,2025-10-29 00:00:00.004,-3.2e-07,112841.11893478,binance,CEX,True,0.0001
BTCUSDT,2025-10-29 08:00:00.005,3.588e-05,113512.0,binance,CEX,True,0.0001
BTCUSDT,2025-10-29 16:00:00.000,5.003e-05,111460.6,binance,CEX,True,0.0001
BTCUSDT,2025-10-30 00:00:00.004,1.097e-05,109985.95808696,binance,CEX,True,0.0001
BTCUSDT,2025-10-30 08:00:00.008,3.449e-05,111319.3395942,binance,CEX,True,0.0001
BTCUSDT,2025-10-30 16:00:00.001,3.562e-05,107670.5,binance,CEX,True,0.0001
BTCUSDT,2025-10-31 00:00:00.000,2.13e-06,108263.5,binance,CEX,True,0.0001
BTCUSDT,2025-10-31 08:00:00.008,0.0001,109400.0,binance,CEX,True,0.0001
BTCUSDT,2025-10-31 16:00:00.007,0.0001,110173.78203623,binance,CEX,True,0.0001
BTCUSDT,2025-11-01 00:00:00.001,0.0001,109557.3,binance,CEX,True,0.0001
BTCUSDT,2025-11-01 08:00:00.000,0.0001,110025.3,binance,CEX,True,0.0001
BTCUSDT,2025-11-01 16:00:00.000,9.782e-05,110261.9,binance,CEX,True,0.0001
BTCUSDT,2025-11-02 00:00:00.007,8.2e-05,110051.81800725,binance,CEX,True,0.0001
BTCUSDT,2025-11-02 08:00:00.000,8.15e-05,110846.38874638,binance,CEX,True,0.0001
BTCUSDT,2025-11-02 16:00:00.001,5.635e-05,110066.1,binance,CEX,True,0.0001
BTCUSDT,2025-11-03 00:00:00.000,6.098e-05,110497.99736957,binance,CEX,True,0.0001
BTCUSDT,2025-11-03 08:00:00.010,6.853e-05,107431.0332029,binance,CEX,True,0.0001
BTCUSDT,2025-11-03 16:00:00.000,5.329e-05,105718.8,binance,CEX,True,0.0001
BTCUSDT,2025-11-04 00:00:00.002,0.0001,106544.0,binance,CEX,True,0.0001
BTCUSDT,2025-11-04 08:00:00.004,5.808e-05,104446.13108696,binance,CEX,True,0.0001
BTCUSDT,2025-11-04 16:00:00.000,6.339e-05,103157.2,binance,CEX,True,0.0001
BTCUSDT,2025-11-05 00:00:00.000,7.132e-05,101437.3,binance,CEX,True,0.0001
BTCUSDT,2025-11-05 08:00:00.000,2.831e-05,101946.1,binance,CEX,True,0.0001
BTCUSDT,2025-11-05 16:00:00.004,2.816e-05,103667.8,binance,CEX,True,0.0001
BTCUSDT,2025-11-06 00:00:00.001,3.985e-05,103847.34145652,binance,CEX,True,0.0001
BTCUSDT,2025-11-06 08:00:00.000,7.916e-05,103144.43398551,binance,CEX,True,0.0001
BTCUSDT,2025-11-06 16:00:00.001,4.494e-05,101988.1,binance,CEX,True,0.0001
BTCUSDT,2025-11-07 00:00:00.005,4.705e-05,101305.6,binance,CEX,True,0.0001
BTCUSDT,2025-11-07 08:00:00.003,4.227e-05,101978.8,binance,CEX,True,0.0001
BTCUSDT,2025-11-07 16:00:00.005,8.631e-05,100758.1,binance,CEX,True,0.0001
BTCUSDT,2025-11-08 00:00:00.011,7.776e-05,103305.2,binance,CEX,True,0.0001
BTCUSDT,2025-11-08 08:00:00.015,3.047e-05,102314.6037971,binance,CEX,True,0.0001
BTCUSDT,2025-11-08 16:00:00.001,3.74e-05,101678.1,binance,CEX,True,0.0001
BTCUSDT,2025-11-09 00:00:00.004,-1.64e-05,102269.2,binance,CEX,True,0.0001
BTCUSDT,2025-11-09 08:00:00.000,4.187e-05,101898.2,binance,CEX,True,0.0001
BTCUSDT,2025-11-09 16:00:00.005,8.948e-05,103717.85895652,binance,CEX,True,0.0001
BTCUSDT,2025-11-10 00:00:00.000,8.87e-05,104670.7,binance,CEX,True,0.0001
BTCUSDT,2025-11-10 08:00:00.000,7.355e-05,106421.67538406,binance,CEX,True,0.0001
BTCUSDT,2025-11-10 16:00:00.003,4.979e-05,105018.03477536,binance,CEX,True,0.0001
BTCUSDT,2025-11-11 00:00:00.007,2.818e-05,105966.2,binance,CEX,True,0.0001
BTCUSDT,2025-11-11 08:00:00.000,-2.775e-05,104737.0,binance,CEX,True,0.0001
BTCUSDT,2025-11-11 16:00:00.009,5.823e-05,103421.01242754,binance,CEX,True,0.0001
BTCUSDT,2025-11-12 00:00:00.000,2.462e-05,103007.53711594,binance,CEX,True,0.0001
BTCUSDT,2025-11-12 08:00:00.002,6.87e-06,103070.02844928,binance,CEX,True,0.0001
BTCUSDT,2025-11-12 16:00:00.000,5.786e-05,102156.97811594,binance,CEX,True,0.0001
BTCUSDT,2025-11-13 00:00:00.002,1.077e-05,101605.9,binance,CEX,True,0.0001
BTCUSDT,2025-11-13 08:00:00.000,9.352e-05,103431.0,binance,CEX,True,0.0001
BTCUSDT,2025-11-13 16:00:00.001,7.448e-05,101343.98608696,binance,CEX,True,0.0001
BTCUSDT,2025-11-14 00:00:00.000,8.569e-05,99663.82278986,binance,CEX,True,0.0001
BTCUSDT,2025-11-14 08:00:00.000,9.126e-05,97102.43884783,binance,CEX,True,0.0001
BTCUSDT,2025-11-14 16:00:00.001,9.078e-05,96752.6,binance,CEX,True,0.0001
BTCUSDT,2025-11-15 00:00:00.005,8.507e-05,94544.9,binance,CEX,True,0.0001
BTCUSDT,2025-11-15 08:00:00.000,0.0001,96292.37823188,binance,CEX,True,0.0001
BTCUSDT,2025-11-15 16:00:00.001,5.923e-05,96222.2,binance,CEX,True,0.0001
BTCUSDT,2025-11-16 00:00:00.001,7.745e-05,95560.3,binance,CEX,True,0.0001
BTCUSDT,2025-11-16 08:00:00.000,0.0001,96065.30980435,binance,CEX,True,0.0001
BTCUSDT,2025-11-16 16:00:00.000,7.06e-05,94526.6,binance,CEX,True,0.0001
BTCUSDT,2025-11-17 00:00:00.003,0.0001,94234.43224638,binance,CEX,True,0.0001
BTCUSDT,2025-11-17 08:00:00.003,9.568e-05,95599.53695652,binance,CEX,True,0.0001
BTCUSDT,2025-11-17 16:00:00.000,7.208e-05,93917.48474513,binance,CEX,True,0.0001
BTCUSDT,2025-11-18 00:00:00.002,0.0001,92169.7,binance,CEX,True,0.0001
BTCUSDT,2025-11-18 08:00:00.004,0.0001,90463.52234058,binance,CEX,True,0.0001
BTCUSDT,2025-11-18 16:00:00.000,3.725e-05,92856.83807346,binance,CEX,True,0.0001
BTCUSDT,2025-11-19 00:00:00.000,7.496e-05,92916.9,binance,CEX,True,0.0001
BTCUSDT,2025-11-19 08:00:00.000,5.012e-05,91831.80035507,binance,CEX,True,0.0001
BTCUSDT,2025-11-19 16:00:00.008,3.98e-05,89905.19610145,binance,CEX,True,0.0001
BTCUSDT,2025-11-20 00:00:00.000,4.259e-05,91522.33241304,binance,CEX,True,0.0001
BTCUSDT,2025-11-20 08:00:00.000,0.0001,92268.56732609,binance,CEX,True,0.0001
BTCUSDT,2025-11-20 16:00:00.000,8.999e-05,89845.8,binance,CEX,True,0.0001
BTCUSDT,2025-11-21 00:00:00.001,4.272e-05,86603.55317391,binance,CEX,True,0.0001
BTCUSDT,2025-11-21 08:00:00.000,4.524e-05,84022.8696087,binance,CEX,True,0.0001
BTCUSDT,2025-11-21 16:00:00.001,2.642e-05,82896.5,binance,CEX,True,0.0001
BTCUSDT,2025-11-22 00:00:00.004,1.373e-05,85093.5,binance,CEX,True,0.0001
BTCUSDT,2025-11-22 08:00:00.000,6.735e-05,84537.3,binance,CEX,True,0.0001
BTCUSDT,2025-11-22 16:00:00.000,5.057e-05,84241.49595652,binance,CEX,True,0.0001
BTCUSDT,2025-11-23 00:00:00.000,3.812e-05,84691.12791304,binance,CEX,True,0.0001
BTCUSDT,2025-11-23 08:00:00.008,1.53e-06,85745.86332609,binance,CEX,True,0.0001
BTCUSDT,2025-11-23 16:00:00.003,-8.93e-06,87043.56694928,binance,CEX,True,0.0001
BTCUSDT,2025-11-24 00:00:00.004,-6e-08,86807.6,binance,CEX,True,0.0001
BTCUSDT,2025-11-24 08:00:00.000,-1.34e-06,87004.6,binance,CEX,True,0.0001
BTCUSDT,2025-11-24 16:00:00.006,5.044e-05,86571.90668116,binance,CEX,True,0.0001
BTCUSDT,2025-11-25 00:00:00.000,-5.29e-05,88247.84814093,binance,CEX,True,0.0001
BTCUSDT,2025-11-25 08:00:00.009,1.996e-05,87362.2,binance,CEX,True,0.0001
BTCUSDT,2025-11-25 16:00:00.007,-3.019e-05,86946.5,binance,CEX,True,0.0001
BTCUSDT,2025-11-26 00:00:00.001,4.038e-05,87324.1,binance,CEX,True,0.0001
BTCUSDT,2025-11-26 08:00:00.001,5.388e-05,87897.61326087,binance,CEX,True,0.0001
BTCUSDT,2025-11-26 16:00:00.000,-4.19e-06,86926.52760145,binance,CEX,True,0.0001
